Significant.UC_K	Ratio.UC.H	minus.log.pvalue	Number.of.samples.quantified.in	Quantified.in.over.70.pct.samples	Cluster	Protein.names	Gene.names	Protein.IDs	Majority.protein.IDs	Zscore.difference.UC-K	Gene.name	pvalue	adj_pvalue	logFC	stat	ENSG.ID	Gene.type	Chromosome	idx	top_2000	top_100	significance
+	2.66803	10.7986	32	+	Cluster 2 (major cluster increased abundance in UC)	Olfactomedin-4	OLFM4	A0A024QZ95;Q6UX06;B4DV64	A0A024QZ95;Q6UX06;B4DV64	4.16451	OLFM4	1.5900105282148632e-11	3.545068938230904e-10	1.4157748886394002	30.771199970101527	ENSG00000102837	protein_coding	13	14	no	no	significant
+	2.53273	11.308	32	+	Cluster 2 (major cluster increased abundance in UC)	Cystatin-A;Cystatin-A, N-terminally processed	CSTA	P01040;C9J0E4	P01040;C9J0E4	3.60416	CSTA	4.9203953568145115e-12	1.3379338262609258e-10	1.3406932877006423	30.44253875492776	ENSG00000121552	protein_coding	3	15	yes	no	significant_inflammatory
+	2.76651	10.2145	32	+	Cluster 2 (major cluster increased abundance in UC)	Dual oxidase 2	DUOX2	X6RAN8;Q9NRD8;Q14C85;A8K2V7;Q9NRD9;Q59GU9;A0A024R5R2;Q9NRD9-2;Q9NT13;H0YK19;S6BAQ9;S6BQ40;A0A0A8J2L3;A0A0A8J1J7;S6BQ37;A0A0A8J2J0	X6RAN8;Q9NRD8	4.26566	DUOX2	6.102390566446643e-11	1.054839670145554e-9	1.46806713864585	30.297737790201488	ENSG00000140279	protein_coding	15	16	no	no	significant
+	2.43078	11.1885	32	+	Cluster 2 (major cluster increased abundance in UC)	Peptidyl-prolyl cis-trans isomerase FKBP11;Peptidyl-prolyl cis-trans isomerase	FKBP11	Q9NYL4;F8VU90;Q9NYL4-2;Q86SR8;E9PAR0	Q9NYL4;F8VU90;Q9NYL4-2;Q86SR8	3.50455	FKBP11	6.478880952687806e-12	1.6763765611473387e-10	1.2814193268213796	28.806147092805254	ENSG00000134285	protein_coding	12	17	yes	no	significant_inflammatory
+	3.16036	8.49697	32	+	Cluster 1 (minor cluster increased abundance)	Lysozyme;Lysozyme C	LYZ	B2R4C5;P61626;F8VV32;A0A0B4J259	B2R4C5;P61626;F8VV32;A0A0B4J259	4.49229	LYZ	3.1844174858957364e-9	2.9461398816653468e-8	1.6600889067038298	28.733189820893273	ENSG00000090382	protein_coding	12	18	yes	yes	significant_inflammatory
+	3.16869	8.25902	32	+	Cluster 2 (major cluster increased abundance in UC)	Bactericidal permeability-increasing protein	BPI	P17213;B4DKH6;H0Y738;A0A0D9SFX6	P17213;B4DKH6;H0Y738	4.52185	BPI	5.507823313576432e-9	4.783761147634362e-8	1.6638865245548	27.992463974330597	ENSG00000101425	protein_coding	20	19	no	no	significant
+	3.5434	7.48418	32	+	Cluster 1 (minor cluster increased abundance)	Neutrophil elastase	ELANE;ELA2	P08246;B2MUD5	P08246;B2MUD5	4.96767	ELANE	3.2795933716999586e-8	2.2685688378738862e-7	1.825134334618839	27.870189818562885	ENSG00000197561	protein_coding	19	20	no	no	significant
+	1.88816	15.0999	32	+	Cluster 2 (major cluster increased abundance in UC)	Apolipoprotein L2	APOL2	A0A024R1M8;J3KQL8;B4E1T5;Q9BQE5;E9PM95;B0QYK8	A0A024R1M8;J3KQL8;B4E1T5;Q9BQE5	2.49316	APOL2	7.945111566183569e-16	1.0235952067766498e-13	0.9169810218110421	27.396430209284148	ENSG00000128335	protein_coding	22	21	yes	yes	significant_inflammatory
+	1.98816	13.6072	32	+	Cluster 2 (major cluster increased abundance in UC)	Heat shock 70 kDa protein 13	HSPA13	Q53FK2;A0A140VK72;P48723;B4DQX6;B3KY30	Q53FK2;A0A140VK72;P48723;B4DQX6;B3KY30	2.67869	HSPA13	2.470586136038428e-14	1.4833111325496735e-12	0.9914338645048563	26.96882568091039	ENSG00000155304	protein_coding	21	22	yes	no	significant_inflammatory
+	1.68385	17.8541	32	+	Cluster 2 (major cluster increased abundance in UC)	Spermidine synthase	SRM	P19623;K7EQ47;K7EL89;K7EKM4;K7ESL0	P19623	2.03842	SRM	1.3992650927815908e-18	1.0816319167201696e-15	0.7517636265903765	25.953852253987897	ENSG00000116649	protein_coding	1	23	yes	no	significant_inflammatory
+	1.7593	16.1768	32	+	Cluster 2 (major cluster increased abundance in UC)	Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase B	HEL-S-39;PPIB	V9HWC6;P23284	V9HWC6;P23284	2.2472	PPIB	6.655795963672291e-17	1.646377689573978e-14	0.8150015155605296	25.85404790425551	ENSG00000166794	protein_coding	15	24	yes	no	significant_inflammatory
+	2.17381	11.3897	32	+	Cluster 2 (major cluster increased abundance in UC)	Interferon-induced guanylate-binding protein 1	GBP1	P32455;B4DNS2	P32455;B4DNS2	3.05894	GBP1	4.0766178334794515e-12	1.1535206301501213e-10	1.1202258483520278	25.598808780903884	ENSG00000117228	protein_coding	1	25	yes	yes	significant_inflammatory
+	2.252	10.7787	32	+	Cluster 2 (major cluster increased abundance in UC)	Signal peptidase complex catalytic subunit SEC11C;Signal peptidase complex catalytic subunit SEC11	SEC11C;SEC11L3	Q9BY50;B4DI03;K7EJQ7;A0A0A0MR04	Q9BY50;B4DI03;K7EJQ7;A0A0A0MR04	3.2062	SEC11C	1.6645620920792342e-11	3.6373328542113016e-10	1.1712068274181424	25.42495755698567	ENSG00000166562	protein_coding	18	26	no	no	significant
+	1.89488	13.685	32	+	Cluster 2 (major cluster increased abundance in UC)	Ubiquitin/ISG15-conjugating enzyme E2 L6	UBE2L6	O14933;E9PQT7;O14933-2;E9PKW8	O14933;E9PQT7;O14933-2	2.54943	UBE2L6	2.065380155810527e-14	1.27723108835323e-12	0.9221064875063311	25.221451034576376	ENSG00000156587	protein_coding	11	27	yes	no	significant_inflammatory
+	1.68507	17.0892	32	+	Cluster 2 (major cluster increased abundance in UC)	Myeloid-derived growth factor	MYDGF	Q969H8;M0QYN0;M0QXF7	Q969H8;M0QYN0;M0QXF7	2.09291	MYDGF	8.143291852092416e-18	3.5267788027303887e-15	0.7528085240808627	25.060088388319585	ENSG00000074842	protein_coding	19	28	no	no	significant
+	2.37635	9.78087	32	+	Cluster 2 (major cluster increased abundance in UC)	Myeloid cell nuclear differentiation antigen	MNDA	Q5VUU6;P41218;B2R829;Q05CU9;H0Y6P3	Q5VUU6;P41218;B2R829;Q05CU9	3.30852	MNDA	1.6562656693177349e-10	2.383148061860432e-9	1.248747338696455	24.749100707273882	ENSG00000163563	protein_coding	1	29	yes	no	significant_inflammatory
+	2.25824	10.3414	32	+	Cluster 2 (major cluster increased abundance in UC)	Tumor necrosis factor receptor superfamily member 5	CD40	A0A0S2Z3C7;P25942;A0A0S2Z349;Q09LL4;Q6P2H9;A0A087X1D0;H0YE23;P25942-2	A0A0S2Z3C7;P25942;A0A0S2Z349	3.27752	CD40	4.556170837990161e-11	8.322806213106914e-10	1.1751988202163373	24.533498534150194	ENSG00000101017	protein_coding	20	30	yes	no	significant_inflammatory
+	2.04242	11.8529	32	+	Cluster 2 (major cluster increased abundance in UC)	Signal transducer and activator of transcription 1-alpha/beta	STAT1	P42224;E7EPD2;D2KFR9;E7ENM1;A5D905;E9PH66;Q67C41;H7BZ88	P42224	2.84389	STAT1	1.4031367515451265e-12	4.6650525115887436e-11	1.0302795702369998	24.474784719894494	ENSG00000115415	protein_coding	2	31	yes	no	significant_inflammatory
+	1.82613	14.053	32	+	Cluster 2 (major cluster increased abundance in UC)	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1	PLCH1	Q4KWH8-3;Q4KWH8-4;Q4KWH8-2;Q4KWH8	Q4KWH8-3;Q4KWH8-4;Q4KWH8-2;Q4KWH8	2.36182	PLCH1	8.851156098308338e-15	6.516136822849853e-13	0.8687894727040709	24.340895222466504	ENSG00000114805	protein_coding	3	32	no	no	significant
+	1.91426	12.8071	32	+	Cluster 2 (major cluster increased abundance in UC)	Minor histocompatibility antigen H13	HM13	A0A0S2Z5V7;Q8TCT9-5;Q8TCT9;Q8TCT9-2;A0A075B6F6;A0A0S2Z6F0;Q8TCT9-4;A0A087WVH6;A0A0C4DGU3	A0A0S2Z5V7;Q8TCT9-5;Q8TCT9;Q8TCT9-2;A0A075B6F6;A0A0S2Z6F0;Q8TCT9-4	2.60138	HM13	1.5591934439322474e-13	6.83833493423902e-12	0.9367867938970202	24.058853894294394	ENSG00000101294	protein_coding	20	33	yes	no	significant_inflammatory
+	3.49049	6.43954	30	+	Cluster 1 (minor cluster increased abundance)	Cysteine-rich secretory protein 3	CRISP3	J3KPA1;P54108;P54108-2;P54108-3;I3L0A1;B4E1S8	J3KPA1;P54108;P54108-2;P54108-3;I3L0A1	4.92382	CRISP3	3.63462826840922e-7	1.8965521620873277e-6	1.803429578253968	23.71142272440451	ENSG00000096006	protein_coding	6	34	no	no	significant
+	1.81572	13.5935	32	+	Cluster 2 (major cluster increased abundance in UC)	DnaJ homolog subfamily B member 11	DNAJB11	Q9UBS4;B3KW63;H7C2Y5	Q9UBS4;B3KW63	2.37034	DNAJB11	2.549764087799279e-14	1.5161289537452637e-12	0.8605417435117984	23.389329812843066	ENSG00000090520	protein_coding	3	35	yes	no	significant_inflammatory
+	1.89319	12.4223	32	+	Cluster 2 (major cluster increased abundance in UC)	Glia maturation factor gamma	GMFG	O60234;M0QYJ8;Q8TDZ6;M0R0C1;M0QYG8;M0R1D2;M0QX47;M0QXC2;M0QXZ6;M0R2P2	O60234;M0QYJ8;Q8TDZ6;M0R0C1;M0QYG8;M0R1D2	2.458	GMFG	3.7818125611095074e-13	1.5487899919139863e-11	0.9208192067639664	22.89430217414911	ENSG00000130755	protein_coding	19	36	yes	no	significant_inflammatory
+	1.69519	15.1444	32	+	Cluster 2 (major cluster increased abundance in UC)	Intercellular adhesion molecule 1	ICAM1	P05362;B4DNT6;B4DQW5;K7EKL8;E7ESS4;O00177;A0A1C9J7T1;Q15462;Q99930	P05362;B4DNT6;B4DQW5;K7EKL8	2.04478	ICAM1	7.171334826577224e-16	9.640768384250774e-14	0.7614469823266364	22.795865776658076	ENSG00000090339	protein_coding	19	37	yes	yes	significant_inflammatory
+	1.98595	11.3551	32	+	Cluster 2 (major cluster increased abundance in UC)	Mesencephalic astrocyte-derived neurotrophic factor	MANF	A8K878;P55145;H7C2D6	A8K878;P55145	2.74074	MANF	4.414687837052633e-12	1.224234510508228e-10	0.9898293007816442	22.55976748073011	ENSG00000145050	protein_coding	3	38	yes	no	significant_inflammatory
+	1.79895	13.2414	32	+	Cluster 2 (major cluster increased abundance in UC)	Transcription factor IIIB 90 kDa subunit	BRF1	F8VWT8;F8VS45;A0A024R6P8;Q92994-9;Q92994-3;Q92994-7;Q92994-8;Q92994-5;Q92994	F8VWT8;F8VS45;A0A024R6P8;Q92994-9;Q92994-3;Q92994-7;Q92994-8;Q92994-5;Q92994	2.33092	BRF1	5.735879248421335e-14	3.03168181813996e-12	0.8471550888937357	22.443752707157866	ENSG00000185024	protein_coding	14	39	no	no	significant
+	2.08077	10.4052	32	+	Cluster 2 (major cluster increased abundance in UC)	Thioredoxin domain-containing protein 5	DKFZp666I134;TXNDC5;STRF8;hCG_1811539	Q658S9;Q86UY0;Q6EHZ3;Q8NBS9;A0A024QZV0;Q8NBS9-2	Q658S9;Q86UY0;Q6EHZ3;Q8NBS9;A0A024QZV0;Q8NBS9-2	3.01065	TXNDC5	3.933688806732014e-11	7.461942202708827e-10	1.0571175041420848	22.184819644582138	ENSG00000239264	protein_coding	6	40	yes	no	significant_inflammatory
+	1.71597	14.2883	32	+	Cluster 2 (major cluster increased abundance in UC)	DnaJ homolog subfamily C member 1	DNAJC1	Q96KC8;Q96NY3;A4VCI1;Q5T1X2	Q96KC8	2.08711	DNAJC1	5.1487286014054786e-15	4.1894391672488785e-13	0.7790243306757102	22.17101383970052	ENSG00000136770	protein_coding	10	41	no	no	significant
+	2.03912	10.6846	32	+	Cluster 2 (major cluster increased abundance in UC)	High affinity immunoglobulin epsilon receptor subunit gamma	FCER1G	P30273;A6NCQ8	P30273	2.77961	FCER1G	2.067283317537611e-11	4.304404052408278e-10	1.0279466788909217	22.140590483319464	ENSG00000158869	protein_coding	1	42	yes	yes	significant_inflammatory
+	1.74193	13.5282	32	+	Cluster 2 (major cluster increased abundance in UC)	Endoplasmin	TRA1;HEL-S-125m;HSP90B1	Q5CAQ5;V9HWP2;P14625;Q59FC6;B4DU71;B4DHT9;Q96GW1;A0A1W2PRR1;H0YIV0;B4DQX3;Q58FF2;F8W026;F8VPC7	Q5CAQ5;V9HWP2;P14625;Q59FC6;B4DU71;B4DHT9	2.23811	HSP90B1	2.963466348548615e-14	1.7288750848513808e-12	0.8006866499517228	21.65705816977366	ENSG00000166598	protein_coding	12	43	yes	no	significant_inflammatory
+	1.57703	16.8609	32	+	Cluster 2 (major cluster increased abundance in UC)	Lysophosphatidylcholine acyltransferase 1	LPCAT1;AYTL2	Q8NF37;D3DTC2;A0A0G2JQ62;A0A0G2JRI7	Q8NF37;D3DTC2;A0A0G2JQ62;A0A0G2JRI7	1.80881	LPCAT1	1.377526619605168e-17	4.89120516466453e-15	0.6572101049220541	21.654084286353186	ENSG00000153395	protein_coding	5	44	yes	no	significant_inflammatory
+	1.92148	11.4539	32	+	Cluster 2 (major cluster increased abundance in UC)	Rho GDP-dissociation inhibitor 2	ARHGDIB	A0A024RAS5;P52566;B2R4F3;F5H3P3;H0YGX7;F5H6Q0;F5H2R5	A0A024RAS5;P52566;B2R4F3;F5H3P3;H0YGX7;F5H6Q0;F5H2R5	2.56335	ARHGDIB	3.5164139963166567e-12	1.030592613896787e-10	0.9422179599807406	21.638037248412516	ENSG00000111348	protein_coding	12	45	yes	no	significant_inflammatory
+	3.01386	6.64713	30	+	Cluster 1 (minor cluster increased abundance)	Ficolin-1	FCN1	O00602;Q92531;Q68DD1;A0A087WVE2	O00602	4.33472	FCN1	2.2535645380458405e-7	1.2321877191225003e-6	1.5916124023382643	21.609384289532656	ENSG00000085265	protein_coding	9	46	yes	yes	significant_inflammatory
+	1.62444	15.3866	32	+	Cluster 2 (major cluster increased abundance in UC)	Translocon-associated protein subunit gamma	SSR3	C9JA28;Q9UNL2;Q9UNL2-2;C9J365	C9JA28;Q9UNL2;Q9UNL2-2;C9J365	1.89846	SSR3	4.105820889699135e-16	6.19277960534133e-14	0.6999424575479463	21.266190360393136	ENSG00000114850	protein_coding	3	47	yes	no	significant_inflammatory
+	1.99947	10.5244	32	+	Cluster 2 (major cluster increased abundance in UC)	Cysteine-rich with EGF-like domain protein 2	CRELD2	Q6UXH1-4;Q6UXH1;Q6UXH1-6;Q6UXH1-5;A6PWM2;Q6UXH1-3;Q6UXH1-2	Q6UXH1-4;Q6UXH1;Q6UXH1-6;Q6UXH1-5;A6PWM2;Q6UXH1-3;Q6UXH1-2	2.80828	CRELD2	2.989509927814587e-11	5.813562702391636e-10	0.9996176351485837	21.228247996720043	ENSG00000184164	protein_coding	22	48	yes	no	significant_inflammatory
+	1.65087	14.7975	32	+	Cluster 2 (major cluster increased abundance in UC)	78 kDa glucose-regulated protein	HEL-S-89n;HSPA5	V9HWB4;P11021;B4DEF7	V9HWB4;P11021	1.99136	HSPA5	1.5940428807122196e-15	1.8026308174594942e-13	0.723226517743857	21.196497979999993	ENSG00000044574	protein_coding	9	49	yes	no	significant_inflammatory
+	1.70408	13.713	32	+	Cluster 2 (major cluster increased abundance in UC)	Protein ERGIC-53	LMAN1	A0A024R2A7;P49257;Q53FS4;B2R774;A0PJ85;B4DVV0	A0A024R2A7;P49257;Q53FS4;B2R774	2.06864	LMAN1	1.9364219639466108e-14	1.2095791338430142e-12	0.7689930661353882	21.07549613257562	ENSG00000074695	protein_coding	18	50	yes	no	significant_inflammatory
+	1.75774	12.9286	32	+	Cluster 2 (major cluster increased abundance in UC)	Thymidine phosphorylase	hCG_1988078;TYMP	E5KRG5;P19971;B2RBL3;P19971-2;C9JGI3;B4DVR2;A0A0S2Z3P7;A0A0S2Z488;A0A1W2PP80;B3KQ24;A0A1W2PQK0	E5KRG5;P19971;B2RBL3;P19971-2;C9JGI3	2.20205	TYMP	1.1786910883419621e-13	5.4804704438396195e-12	0.8137216868344519	21.07376475207861	ENSG00000025708	protein_coding	22	51	yes	yes	significant_inflammatory
+	1.73628	13.0329	32	+	Cluster 2 (major cluster increased abundance in UC)	Calumenin	CALU	Q6IAW5;O43852;O43852-3;B3KQF5;O43852-6;O43852-5;O43852-10;O43852-9;O43852-13;O43852-14;O43852-11	Q6IAW5;O43852;O43852-3;B3KQF5;O43852-6;O43852-5;O43852-10;O43852-9	2.19835	CALU	9.270432584045278e-14	4.447129442275411e-12	0.7959996217673961	20.781652866329946	ENSG00000128595	protein_coding	7	52	yes	no	significant_inflammatory
+	1.58036	15.9232	32	+	Cluster 2 (major cluster increased abundance in UC)	Protein disulfide-isomerase	P4HB	A0A024R8S5;P07237;B4DNL5;B4DUA5;H7BZ94;B4DLN6;H0Y3Z3;Q96C96;I3L398;B3KTQ9;I3L312;B4DJS0;I3L4M2;I3NI03;I3L3U6;I3L0S0;I3L3P5;B4DNP9;I3L514;I3L1Y5	A0A024R8S5;P07237;B4DNL5;B4DUA5;H7BZ94;B4DLN6;H0Y3Z3;Q96C96	1.8374	P4HB	1.1934383792107966e-16	2.4300084683488528e-14	0.6602532362852563	20.683033425118428	ENSG00000185624	protein_coding	17	53	yes	no	significant_inflammatory
+	1.51921	17.3465	32	+	Cluster 2 (major cluster increased abundance in UC)	Transmembrane protein 214	TMEM214	B3LEU8;Q6NUQ4;Q6NUQ4-2;B2RD07;B4DKI3;B4DLT7;Q8N3H6;H7C0H8;H7C085;H7C008;H7BZI0	B3LEU8;Q6NUQ4;Q6NUQ4-2;B2RD07	1.66159	TMEM214	4.502979812880902e-18	2.320535596904625e-15	0.6033213069816483	20.345735521833898	ENSG00000119777	protein_coding	2	54	no	no	significant
+	2.85388	6.53514	32	+	Cluster 1 (minor cluster increased abundance)	Resistin	RETN	Q9HD89;Q9HD89-2	Q9HD89	4.11815	RETN	2.916486698216979e-7	1.5561306075732355e-6	1.512924673620753	20.1895681702566	ENSG00000104918	protein_coding	19	55	no	no	significant
+	1.70918	12.7975	32	+	Cluster 2 (major cluster increased abundance in UC)	Interferon-stimulated gene 20 kDa protein	ISG20	Q96AZ6;H0YMM4;A0A024RC76;Q59F22;H3BLY5;Q96AZ6-2	Q96AZ6;H0YMM4;A0A024RC76;Q59F22	2.06355	ISG20	1.5940428807122197e-13	6.893399422604452e-12	0.7733043405088945	19.85374559055977	ENSG00000172183	protein_coding	15	56	yes	yes	significant_inflammatory
+	1.6839	13.1732	32	+	Cluster 2 (major cluster increased abundance in UC)	Translocon-associated protein subunit alpha	SSR1	B2R6N9;P43307;C9J3L8;C9J5W0;E9PAL7;C9IZQ1;P43307-2;C9JBX5;C9JY01	B2R6N9;P43307;C9J3L8;C9J5W0;E9PAL7;C9IZQ1;P43307-2	2.05584	SSR1	6.711197196984218e-14	3.4585036221792e-12	0.751806465133647	19.818176566371278	ENSG00000124783	protein_coding	6	57	no	no	significant
+	1.5727	15.3431	32	+	Cluster 2 (major cluster increased abundance in UC)	Staphylococcal nuclease domain-containing protein 1	SND1	A0A140VK49;Q7KZF4;B2R5U1;Q59FF0;B3KU67;H7C597	A0A140VK49;Q7KZF4;B2R5U1;Q59FF0;B3KU67	1.79057	SND1	4.53837104763082e-16	6.526810827569533e-14	0.6532434960620659	19.812305004676382	ENSG00000197157	protein_coding	7	58	yes	no	significant_inflammatory
+	1.92222	10.3163	32	+	Cluster 2 (major cluster increased abundance in UC)	Plastin-2	LCP1;HEL-S-37	A0A024RDT4;P13796;V9HWJ7;Q53FI1;Q59GX5;B3KUI1;P13796-2;Q5TBN3;Q5TBN5	A0A024RDT4;P13796;V9HWJ7;Q53FI1;Q59GX5	2.54658	LCP1	4.827252320650396e-11	8.677828008983155e-10	0.9427734634505472	19.641679995510238	ENSG00000136167	protein_coding	13	59	yes	yes	significant_inflammatory
+	2.79865	6.46593	32	+	Cluster -382	Protein S100-P	S100P	P25815	P25815	4.27187	S100P	3.4203456752979173e-7	1.7940133720137678e-6	1.4847310743216273	19.602716960064722	ENSG00000163993	protein_coding	4	60	yes	no	significant_inflammatory
+	1.60709	14.2529	32	+	Cluster 2 (major cluster increased abundance in UC)	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2;Phosphoinositide phospholipase C	PLCG2	P16885;A0A0A0MRF9;B4E3H3;H3BQV5;H3BPZ3	P16885;A0A0A0MRF9;B4E3H3	1.84572	PLCG2	5.585988020572553e-15	4.486201288210477e-13	0.6844507248548866	19.432492408577374	ENSG00000197943	protein_coding	16	61	yes	no	significant_inflammatory
+	1.96646	9.82585	32	+	Cluster 2 (major cluster increased abundance in UC)	Nicotinamide N-methyltransferase	NNMT	Q6FH49;P40261	Q6FH49;P40261	2.60669	NNMT	1.4933100915521488e-10	2.1831275664677277e-9	0.9756008405454807	19.421391228806243	ENSG00000166741	protein_coding	11	62	yes	no	significant_inflammatory
+	1.57741	14.7108	32	+	Cluster 2 (major cluster increased abundance in UC)	Protein transport protein Sec61 subunit beta	SEC61B	P60468;Q53FA5;S4R3B5	P60468;Q53FA5	1.79297	SEC61B	1.9462561593612373e-15	2.010565520626336e-13	0.6575576937924652	19.199096110119466	ENSG00000106803	protein_coding	9	63	yes	no	significant_inflammatory
+	2.26902	7.8456	32	+	Cluster 2 (major cluster increased abundance in UC)	Sodium-coupled neutral amino acid transporter 5	SLC38A5	A0A024QYY0;Q8WUX1;A0A087X1I6;Q8WUX1-2;C9JJU1;C9JMY2;C9JHH7;C9JWG4;C9JNK4	A0A024QYY0;Q8WUX1;A0A087X1I6;Q8WUX1-2	3.2081	SLC38A5	1.4269212315793639e-8	1.092089219812721e-7	1.1820693255257428	18.916337924081912	ENSG00000017483	protein_coding	X	64	yes	no	significant_inflammatory
+	1.81022	10.9576	32	+	Cluster 2 (major cluster increased abundance in UC)	Integrin beta-2;Integrin beta	ITGB2	P05107;J3KNI6;E7EVZ9;E5RK25	P05107;J3KNI6	2.25345	ITGB2	1.102554332102225e-11	2.5729041470642113e-10	0.8561650418507384	18.883937733143174	ENSG00000160255	protein_coding	21	65	yes	yes	significant_inflammatory
